"ID","Date","Day","Service Counter ID","Time Range","Customer Count"
"260","2019-06-05","Wednesday","1","Morning","43"
"261","2019-06-05","Wednesday","1","Evening","51"
"262","2019-06-06","Thursday","1","Morning","59"
"263","2019-06-06","Thursday","1","Evening","78"
"264","2019-06-07","Friday","1","Morning","46"
"265","2019-06-07","Friday","1","Evening","36"
"266","2019-06-08","Saturday","1","Morning","51"
"267","2019-06-08","Saturday","1","Evening","46"
"268","2019-06-10","Monday","1","Morning","56"
"269","2019-06-10","Monday","1","Evening","71"
"270","2019-06-11","Tuesday","1","Morning","16"
"271","2019-06-11","Tuesday","1","Evening","45"
"272","2019-06-12","Wednesday","1","Morning","72"
"273","2019-06-12","Wednesday","1","Evening","46"
"274","2019-06-13","Thursday","1","Morning","46"
"275","2019-06-13","Thursday","1","Evening","41"
"276","2019-06-14","Friday","1","Morning","35"
"277","2019-06-14","Friday","1","Evening","38"
"278","2019-06-15","Saturday","1","Morning","41"
"279","2019-06-15","Saturday","1","Evening","45"
"280","2019-06-17","Monday","1","Morning","39"
"281","2019-06-17","Monday","1","Evening","40"
"282","2019-06-18","Tuesday","1","Morning","46"
"283","2019-06-18","Tuesday","1","Evening","48"
"284","2019-06-19","Wednesday","1","Morning","46"
"285","2019-06-19","Wednesday","1","Evening","56"
"286","2019-06-20","Thursday","1","Morning","78"
"287","2019-06-20","Thursday","1","Evening","52"
"288","2019-06-21","Friday","1","Morning","59"
"289","2019-06-21","Friday","1","Evening","51"
"290","2019-06-22","Saturday","1","Morning","49"
"291","2019-06-22","Saturday","1","Evening","48"
"292","2019-06-24","Monday","1","Morning","49"
"293","2019-06-24","Monday","1","Evening","46"
"294","2019-06-25","Tuesday","1","Morning","48"
"295","2019-06-25","Tuesday","1","Evening","39"
"296","2019-06-26","Wednesday","1","Morning","40"
"297","2019-06-26","Wednesday","1","Evening","46"
"298","2019-06-27","Thursday","1","Morning","38"
"299","2019-06-27","Thursday","1","Evening","47"
"300","2019-06-28","Friday","1","Morning","49"
"301","2019-06-28","Friday","1","Evening","51"
"302","2019-06-29","Saturday","1","Morning","52"
"303","2019-06-29","Saturday","1","Evening","47"
"304","2019-07-01","Monday","1","Morning","78"
"305","2019-07-01","Monday","1","Evening","56"
"306","2019-07-02","Tuesday","1","Morning","56"
"307","2019-07-02","Tuesday","1","Evening","25"
"308","2019-07-03","Wednesday","1","Morning","45"
"309","2019-07-03","Wednesday","1","Evening","36"
"310","2019-07-04","Thursday","1","Morning","46"
"311","2019-07-04","Thursday","1","Evening","38"
"312","2019-07-05","Friday","1","Morning","51"
"313","2019-07-05","Friday","1","Evening","45"
"314","2019-07-06","Saturday","1","Morning","52"
"315","2019-07-06","Saturday","1","Evening","48"
"316","2019-07-08","Monday","1","Morning","45"
"317","2019-07-08","Monday","1","Evening","38"
"318","2019-07-09","Tuesday","1","Morning","49"
"319","2019-07-09","Tuesday","1","Evening","39"
"320","2019-07-10","Wednesday","1","Morning","48"
"321","2019-07-10","Wednesday","1","Evening","36"
"322","2019-07-11","Thursday","1","Morning","46"
